-0.004633406,0.013865145,-0.027072249,-0.039888889,0.066375016,0.005262649,-0.145388537,0.153690006,0.007311613,-0.01661435,-0.03783714
-0.003838554,0.021853739,-0.023792351,-0.02895186,0.07192802,0.030794407,-0.112022949,0.176670045,0.013220338,-0.00185968,-0.008331092
-0.002977037,0.029982718,-0.020478792,-0.01795185,0.077531661,0.056145095,-0.079014421,0.199638969,0.019285545,0.012597525,0.021105175
-0.002047189,0.03824507,-0.017132875,-0.006903729,0.083176976,0.081271125,-0.046419849,0.222559214,0.025500058,0.026729517,0.050429237
-0.001047448,0.046633694,-0.01375578,0.004177614,0.08885492,0.106129724,-0.014294143,0.2453934,0.031856312,0.040509694,0.079599126
2.36379901441165e-05,0.055141433,-0.010348552,0.015277318,0.094556406,0.130679117,0.017310054,0.268104479,0.038346373,0.053912717,0.10857346
0.001167395,0.063761104,-0.006912099,0.026380603,0.10027236,0.154878704,0.048342604,0.290655882,0.044961964,0.066914638,0.137311573
0.002385021,0.072485525,-0.003447184,0.037472812,0.105993759,0.178689216,0.078756112,0.313011668,0.051694484,0.079493003,0.165773634
0.003677571,0.081307532,4.55742465253711e-05,0.048539459,0.111711684,0.202072884,0.108506129,0.335136663,0.058535034,0.091626962,0.193920761
0.005045953,0.090220003,0.003565707,0.05956626,0.117417364,0.224993576,0.137551335,0.356996598,0.065474434,0.103297364,0.221715131
0.006490913,0.09921587,0.007112893,0.070539179,0.123102226,0.247416941,0.165853694,0.378558243,0.072503242,0.114486841,0.249120073
0.008013032,0.108288133,0.010686956,0.081444449,0.128757938,0.269310533,0.193378583,0.399789537,0.079611778,0.125179887,0.276100165
0.009612711,0.117429867,0.014287865,0.092268605,0.134376464,0.290643924,0.220094898,0.420659705,0.086790133,0.135362925,0.302621313
0.011290167,0.12663423,0.017915725,0.102998508,0.139950099,0.311388809,0.245975121,0.441139374,0.094028193,0.14502436,0.328650824
0.01304542,0.135894458,0.021570773,0.113621361,0.145471526,0.331519093,0.270995376,0.461200685,0.101315649,0.154154632,0.354157473
0.014878286,0.145203873,0.02525337,0.12412473,0.150933849,0.351010968,0.295135446,0.48081739,0.108642014,0.162746241,0.379111562
0.016788369,0.154555871,0.028963991,0.134496557,0.156330645,0.369842978,0.318378767,0.499964946,0.115996636,0.170793779,0.403484963
0.018775052,0.163943919,0.032703214,0.144725166,0.161655996,0.387996071,0.3407124,0.5186206,0.123368709,0.178293935,0.427251167
0.020837488,0.173361548,0.036471711,0.154799279,0.166904537,0.40545363,0.36212698,0.536763464,0.130747293,0.185245503,0.450385309
0.022974597,0.182802334,0.04027023,0.164708014,0.172071482,0.422201504,0.382616636,0.554374579,0.13812132,0.191649367,0.472864203
0.025185053,0.192259891,0.044099587,0.174440894,0.177152667,0.438228016,0.402178899,0.571436977,0.14547961,0.19750848,0.494666357
0.027467282,0.201727852,0.047960646,0.183987847,0.182144571,0.453523959,0.420814586,0.587935722,0.152810887,0.202827838,0.51577199
0.029819451,0.211199847,0.051854306,0.193339206,0.18704435,0.468082589,0.438527669,0.603857953,0.160103792,0.207614432,0.536163038
0.03223947,0.22066949,0.055781483,0.20248571,0.191849858,0.481899594,0.455325128,0.619192902,0.167346899,0.211877199,0.555823159
0.034724979,0.230130354,0.059743096,0.211418501,0.196559662,0.49497306,0.471216794,0.633931919,0.174528729,0.215626962,0.574737727
0.037273349,0.239575945,0.063740044,0.220129122,0.201173061,0.50730343,0.486215171,0.648068468,0.181637775,0.218876356,0.592893821
0.039881679,0.248999686,0.067773194,0.228609512,0.205690093,0.518893445,0.500335261,0.66159813,0.188662512,0.221639756,0.610280217
0.042546788,0.258394888,0.071843359,0.236852004,0.210111535,0.529748087,0.51359437,0.674518581,0.195591427,0.223933186,0.626887362
0.04526522,0.267754727,0.07595128,0.244849321,0.214438908,0.539874504,0.526011911,0.686829571,0.202413037,0.22577423,0.642707351
0.048033238,0.277072224,0.080097611,0.252594569,0.218674462,0.549281943,0.537609206,0.698532887,0.209115911,0.227181933,0.657733905
0.050846828,0.286340225,0.084282899,0.260081235,0.222821165,0.557981659,0.548409276,0.709632308,0.215688703,0.2281767,0.671962334
0.053701699,0.295551377,0.088507564,0.267303183,0.226882679,0.565986836,0.558436636,0.720133552,0.222120174,0.228780184,0.685389505
0.056593282,0.304698116,0.092771887,0.274254648,0.230863335,0.573312491,0.567717088,0.730044217,0.228399223,0.22901518,0.698013812
0.05951674,0.313772648,0.09707599,0.280930233,0.234768095,0.579975377,0.57627751,0.739373701,0.234514921,0.228905506,0.709835133
0.062466968,0.322766941,0.101419819,0.287324908,0.238602514,0.585993886,0.584145656,0.748133133,0.240456537,0.228475889,0.720854795
0.065438601,0.331672716,0.105803132,0.293434008,0.24237269,0.591387941,0.591349949,0.756335275,0.246213581,0.22775184,0.731075534
0.068426021,0.340481438,0.110225481,0.299253229,0.246085214,0.59617889,0.597919286,0.763994436,0.251775833,0.226759542,0.74050146
0.071423364,0.349184319,0.114686202,0.304778635,0.249747108,0.600389398,0.603882845,0.771126359,0.25713338,0.225525722,0.749138011
0.074424532,0.357772319,0.119184399,0.310006658,0.253365762,0.604043331,0.609269902,0.777748117,0.262276656,0.224077529,0.756991916
0.077423203,0.366236147,0.123718934,0.314934101,0.256948866,0.60716565,0.614109649,0.783877994,0.267196478,0.222442419,0.764071156
0.080412845,0.374566275,0.128288418,0.319558147,0.26050434,0.60978229,0.618431028,0.789535361,0.271884085,0.220648029,0.770384922
0.083386728,0.382752951,0.132891201,0.323876368,0.264040258,0.611920047,0.622262574,0.794740552,0.276331176,0.218722059,0.775943575
0.08633794,0.390786208,0.137525365,0.327886735,0.26756477,0.613606467,0.625632261,0.79951473,0.280529951,0.21669216,0.780758607
0.089259404,0.398655891,0.142188715,0.331587632,0.271086029,0.614869728,0.628567371,0.803879757,0.284473144,0.214585813,0.784842598
